,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_117,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_136,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_143,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_149,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
000001.XSHE,-0.734275698,-0.004093567,0.78,-1,-0.700349292,-0.643333333,1.142214765,0.281879195,5.63E-10,0.533333333,-60118130.08,0.02114094,0.011211709,0.86,-0.006158584,-0.548821549,0.868675676,1.070491803,0.065849923,4.06374502,0.19047619,0.003362404,62.63303707,0.753297278,-1.262155556,0.405410376,122.8237479,89.07236009,5723468.782,,7.889301941,-1.37417203,-0.306666667,0.926875957,0.566666667,0.326599327,-1.198698432,-0.51,0.386666667,210.4967865,-0.565217391,-0.381058342,442630092,1.75,0.522222222,0.942788093,22.60314024,-0.254454138,0.062857143,0.874285714,0.937142857,9.856666667,66.66666667,0.52,44.16059279,1,442.2478947,60,2.33,425552500.6,-0.705084746,0.1612086,82.52794158,-0.446428571,0.966947422,3.418239409,71.60448525,4.69E-08,0.782222222,620325099.8,12.76848354,26.42287596,-0.016722408,1.063333333,0.862068966,0.715291135,0.793220339,103.294875,77.76390476,-30.19128352,142472428.5,29.74835239,-0.324232082,864225192,0.1,-0.07,,0.187272727,0.253254696,-0.161616162,-0.377391304,-1,0.98,1150836396,780701157.4,395.2152147,69187568.44,-0.7,-0.133333333,59155628.95,1,46.83932619,5,0.219846486,-0.11800939,2.06,-0.091668093,-0.601029618,1.150696883,188.6524823,6532272.472,66.5615142,-0.091134715,-0.158970929,,0.107857143,0.053955078,175.0865052,0.655008219,1.735483871,-0.669115822,0.003067619,-1,0.015875222,0.110350877,13.06333333,0,90.98879269,0.53,2.426470588,0.708053691,1559271726,90,27139460.13,1.101474216,-0.175146713,2.812121212,,-0.395067773,0.333333333,-0.123287671,-0.087483333,18.37163489,8.15E-12,31.37545649,0.043400655,0.088018648,1,0.176619355,1839868893,1.076537803,0.013661615,12.3128125,-1,4036594.903,-0.79264214,0.53,0.034456355,-2548.631711,0.168306308,0.493333333,0.882319204,0.271812081,1324.451137,,-0.001796336,2.64,-1.073643955,0.013053321,-0.365903294,-0.90283871,65.00592098,15.92212365,0.282635145,0.51,0.69735636,95,758965.0146,0.069517439,-0.983333333,-0.003498282,3,,0.84450783,0.546666667,56.02105326,4.5,-10.67533529,0.432777778,-1.076310319,1.001868388
000002.XSHE,-0.699738928,0.386529861,1.62,-1,-0.824957911,-0.643333333,1.104977629,0.077181208,6.17E-09,0.793333333,20513305.94,0.117225951,0.026819583,2.15,-0.0003367,-0.781144781,0.703305725,1.077365959,0.071810287,5.459668897,0.246095238,0.006755629,56.36806397,1.097837713,-1.2516,-0.451596523,-165.1983144,95.04013369,4561858.832,,6.884036413,-1.070195194,-0.241066667,0.935593409,0.12,0.814814815,0.823224943,-1.98,0.306666667,160.9661168,-0.759197324,-0.452285241,243240807,2,0.331866667,0.948306335,32.98528385,-0.246176131,0.204005006,0.591989987,0.795994994,25.21666667,66.66666667,0.693333333,63.60523334,-1,384.0261531,55,4.25,278771628.5,-0.877966102,-0.549214222,80.52305681,-0.649659864,0.957303496,4.460080247,66.28722876,4.03E-07,0.739371534,819013814.9,8.862830652,36.11426623,-0.257525084,1.441212121,0.724137931,0.711021535,0.724832215,179.9374195,72.52194566,-14.9578495,75426189.01,37.96569843,-0.634812287,360335513,0.0125,-1,-1.558353511,0.113839286,0.366183914,-0.663299663,-0.583913043,-1,2.82,395481722,796977154.2,294.105271,28768699.06,-1.95,-0.713333333,26728600.79,1,48.96221767,65,0.131019263,0.29740583,3.06,-0.182910185,-0.858084633,1.123179672,127.1186441,1294166.446,53.55450237,-0.058488667,0.280962195,0.949637255,0.088398496,0.019775391,130.1864802,0.47834023,1.186440678,-0.82885906,0.001167193,-1,-0.029813194,0.208157525,29.97666667,0,71.41968532,1.47,0.378529412,0.902684564,2015353754,35,10668680.49,1.068557266,-0.117279015,7.526893424,,-0.260620033,0.266211604,-0.363013699,-0.019333333,30.51655043,7.01E-12,32.92711334,0.03003731,0.057185315,1,0.069829363,2504718219,1.77290937,0.010842718,28.39229167,-1,2502912.383,-0.88590604,0.34,0.03507014,-2576.548631,0.364678884,1.0425,1,0.147651007,435.2655765,,-0.000816184,4.86,-1.154509827,0.013417884,-0.669093729,-0.777073095,35.98726237,33.28488996,0.471130971,1.153333333,0.968099118,100,675196.7273,0.178463359,-0.983333333,-0.003498282,6,,0.539742729,0.636666667,43.26469533,10.82,-6.156897051,0.698333333,-0.480155874,1.004239646
000063.XSHE,-0.607751133,-1.454249815,-1.43,-1,-0.899835643,-0.643333333,0.505123043,0.181208054,2.79E-09,0.813333333,-57800920.27,0.820771812,-0.244393619,1.75,-0.002969317,-0.919191919,0.750900598,1.058528428,0.055292259,4.420983174,0.664714286,-0.006336931,58.79039239,2.74077477,-1.581222222,-0.633757742,76.29417959,79.37173154,8428898.416,,12.86775632,-2.564340864,-2.44252,0.885992628,0.706666667,0.606060606,-16.68665629,-1.55,-0.086666667,156.4656386,-0.856187291,-0.539036014,-96074587,0.85,0.0341,0.894632043,31.00770612,-0.087199638,0.232961586,0.534076828,0.767038414,35.27,58.33333333,0.943333333,210.7316273,-1,636.2637551,65,8.93,840368677.9,-0.93559322,-0.309723824,89.56933911,-0.836734694,0.952290679,5.00995355,79.79346356,3.78E-07,0.8362024,2135351382,29.10243554,33.58645414,0.465551839,0.795959596,0.620689655,0.780167064,0.27852349,54.11060189,86.69493322,-41.14844297,166039986.5,35.68391466,-0.563139932,1052854571,0.45,-1,-1.204358354,0.584084084,1.138993695,-0.919191919,-0.354882943,-0.872053872,3.14,770127001,2503239599,739.4040648,74231121.24,-16.48,-0.686666667,77623919.5,1,51.12279305,5,0.096108919,-0.220745161,11.67,-0.024072,-0.981774244,1.088924984,289.0166028,-31488271.18,80.16682113,-0.081884133,-7.896272108,0.626663276,0.669819549,0.009521484,206.1833689,0.039413865,0.078838174,-0.979446208,0.005276537,-1,0.930792032,0.550500715,31,0,77.38540668,1.07,2.323636364,0.855704698,4191129449,70,71703479.24,1.18828885,-0.330774432,27.10875676,,-0.437146827,0.122866894,-0.349315068,-0.44375,84.9842748,3.42E-12,39.41849344,0.068034148,0.648729604,-1,0.509170265,5910356150,4.18459951,0.024866118,28.31510417,-1,-228700.9421,-0.818791946,0.44,0.064770932,-1484.658314,0.700326878,1.95,0.651328729,0.010067114,128.4744481,,-0.012362974,9.72,-1.207412364,0.11446619,-0.726181154,-31.74415124,93.88649311,37.1796258,0.999111049,2.07,0.746552735,75,8428898.416,0.03248925,-0.85,-0.003498281,7,,0.942550336,0.093333333,87.67382714,19.17,16.1196185,1.300833333,-2.069180583,-0.168830843
000069.XSHE,-0.873497742,-0.321981424,0.31,-1,-0.866423302,-0.643333333,1.033557047,0.44295302,2.87E-10,0.273333333,5042902.914,0.021979866,-0.012791545,0.32,0,-0.387205387,0.948963181,1.046176046,0.044137931,4.316546763,0.067761905,0.002280085,56.75720556,0.284474398,-0.780766667,0.707625724,83.6009368,89.54147363,2497826.417,,5.955425649,-0.748091603,-0.09718,0.943793103,0.246666667,0.101010101,-0.905036429,-0.33,-0.183333333,119.7023763,-0.280936455,-0.077895083,152902824,1.933333333,0.498788889,0.953103448,28.62092621,-0.222000653,0.167567568,0.664864865,0.832432432,5.526666667,58.33333333,0.283333333,12.15746682,1,387.7036142,45,13.4,168363342.2,-0.46,-0.926348509,82.18671488,-0.596428571,0.971264368,2.958579882,68.13694046,2.43E-08,0.715481172,165573357.8,9.530404129,32.74977381,0.54916388,1.014882155,0.724137931,0.915667698,0.433898305,105.6685262,75.68732737,-20.69358055,53544803.49,35.33155413,-0.436860068,115604589,0.01875,-0.08,-0.685714286,0.131045242,0.104590288,-0.124579125,-0.150133779,-1,0.68,136658346,148497567.7,309.615127,21353317.24,-2.04,-0.128333333,20596849.1,1,48.97588893,15,-0.021569203,0.299264685,0.84,-0.268462731,-0.390246109,1.002477546,160,-428938.631,66.66666667,-0.420933273,-0.058319878,0.853387762,0.042714286,0.014282227,127.4111675,0.65214557,3.925373134,,0.002515208,1,0.058332042,2.362441315,7.233333333,0,73.40605571,0.23,4.602162162,0.718120805,352919884.4,80,8410269.675,1.061087015,0.05524994,1.92,,0.088636267,,-0.695205479,-0.171875,14.06419675,2.84E-11,29.86283515,0.027663356,0.036369464,1,0.318416505,418566323.5,0.397714301,0.00724454,6.91,1,299332.6103,-0.662207358,0.736666667,0.026206897,-2869.795394,0.071424963,0.261666667,1,0.439597315,3278.431574,,-0.002447378,1.15,-1.103494244,0.006353989,-0.180161192,-1.621768839,46.87618178,9.241627443,0.098154706,0.233333333,0.603944606,95,645649.2273,0.149386845,-1,-0.003498282,6,,1.105178971,0.553333333,41.39256713,2.39,-19.54710073,0.169722222,-1.297999256,0.914614857
000100.XSHE,-0.190487808,-1.5,0.19,-1,-0.938667972,-0.643333333,0.941275168,0.375838926,2.75E-11,0.086666667,4033599.641,0.114865772,-0.090424066,0.38,0.005797101,-0.902356902,0.939687863,1.111111111,0.1,10.14492754,0.022857143,0.007428662,53.32721177,0.139949218,-0.795066667,0.515417215,1025.136476,86.13214536,68664308.09,,13.8576779,-2.55645066,-0.0476,0.878289474,0.106666667,0.942760943,-1.736616684,-0.51,-0.313333333,134.3763712,-0.224080268,-0.122927452,260181840,1.1,0.146666667,0.880400219,43.37893536,-0.241841736,0.335526316,0.328947368,0.664473684,3.843333333,58.33333333,0.603333333,20.26309971,1,533.0793174,60,0.83,1168495869,-0.353333333,-0.973147367,81.99014431,-0.945578231,0.896491228,11.54598826,73.00797523,1.94E-09,0.719298246,769127549.1,21.6162155,42.29529176,-0.391304348,1.592794613,0.724137931,0.850367415,0.284745763,127.0146984,76.84287162,23.32808216,334153877.7,42.22375353,-0.61774744,1110476771,0.0875,-0.35,,0.397058824,0.052448264,-0.902356902,-0.03687291,-0.602693603,0.48,1095244163,681231081.8,400.1030001,186952392.8,-1.48,-0.72,189167329.9,-1,68.13005903,5,-0.003982721,0.512086336,1.08,-0.210754444,-0.916547769,1.216837701,215.7407407,-183458484.9,43.93939394,-0.189437329,-0.326790999,0.39083504,0.035511278,0,146.5116279,-0.332577518,10.07692308,,0.008277213,-1,2.578670178,22.06545455,3.673333333,0,65.78401319,0.37,0.139386282,0.95867908,1060183321,95,121914179.7,1.141524396,-0.847076415,7.009032258,,-0.864363689,,-0.698630137,-0.603466667,17.13265367,1.75E-11,38.28114795,0.044768948,0.033918998,1,0.458474727,2486236504,0.411131399,0.017741347,3.345520833,1,19181938.21,-0.91638796,0.76,0.1,-1710.901111,0.08046754,0.1775,0.899113833,0.077181208,13229.57837,,-0.008858402,0.95,-2.114133703,0.007573781,-0.470720456,inf,69.88300974,4.808662095,0.098920219,0.216666667,0.809428875,100,68664308.09,0.164630401,-1,-0.003498281,5,,0.686040268,0.02,75.46148591,1.71,106.8440028,0.122777778,-1.301814255,0.718597256
000157.XSHE,-0.575765206,-0.911111111,0.09,-1,-0.943242218,-0.643333333,0.800229306,0.570469799,7.90E-11,0.14,23848308.9,0.041946309,-0.004409021,0.16,-0.002320186,-0.838383838,0.974147412,1.037914692,0.03652968,3.058823529,0.028904762,0.000907868,64.32755178,0.137045215,-0.469466667,0.759124647,19.67880181,85.6948852,1476651.28,,4.973037747,-1.881266392,-0.09744,0.952625571,0.126666667,0.528619529,-1.228098255,-0.15,-0.08,229.1450499,-0.043478261,-0.050279357,95857888,1.466666667,0.399983333,0.954409247,22.5261461,-0.261996355,0.15,0.7,0.85,2.303333333,58.33333333,0.266666667,13.19738937,1,415.5495163,65,8.77,198126012.5,-0.886666667,-0.626781002,88.04277781,-0.967857143,0.971461187,2.937720329,75.56385465,7.40E-09,0.781818182,81717499.87,9.854739262,25.38573795,-0.434782609,1.125993266,0.75862069,0.736280747,0.305084746,70.22707091,83.44373857,-24.45583278,38154430.04,27.83181671,-0.556313993,320493297,0.0625,-0.07,,0.174262735,0.046748531,-0.838383838,-0.05287068,-1,0.24,380091385,77265563.11,394.9862442,19543533.41,-1.18,-0.403333333,17262868.56,1,51.73868132,15,0.011532992,-0.530481879,0.65,-0.16492875,-0.449089419,1.099405615,224.5614035,-7701234.616,70.49180328,-0.510691103,-0.02538411,0.829211694,0.032669173,0.007080078,196.7741935,0.395090981,8.75,-0.097315436,0.004280222,-1,0.454804313,10.70153846,4.353333333,0,78.78332668,0.09,1.825531915,0.61409396,143979177.3,80,5255268.187,1.07354001,-0.250912213,1.298028169,,-0.485636541,,-0.626712329,-0.26875,4.673370002,6.62E-11,39.50621582,0.065558977,0.031768648,1,0.250042877,210157767.4,0.287457525,0.012086838,4.1803125,1,2196866.871,-0.525083612,0.931666667,0.02283105,-4074.23194,0.041609907,0.105833333,0.846647525,0.55033557,30623.41222,,-0.00319256,0.52,-1.376266689,0.006523729,-0.314865219,-8.207563186,82.86074278,5.83662131,0.085434361,0.106666667,-0.34276044,95,784050.9652,0.178599868,-0.966666667,-0.003498282,1,,1.06155481,0.346666667,80.31578485,1.1,-4.619360856,0.070277778,-0.896265029,0.93314697
000166.XSHE,0.39607811,-1.086363636,-0.46,1,-0.943022516,-0.14,0.851677852,0.889261745,1.52E-11,0.203333333,-422420037.8,0.044161074,0.007678844,-0.09,-0.010600707,-0.884745763,1.129523572,0.984293194,-0.015706806,-4.890387858,0.080428571,-0.009030321,47.8835735,0.282363152,-0.148055556,0.805643206,-130.3236009,52.3605453,-7526520.428,,4.622043593,-2.50192233,-0.3185,0.955821513,0.293333333,0.902356902,-1.719795516,0.05,-0.736666667,132.4950923,-0.317725753,-0.300013818,-264175309,0.783333333,0.0861,0.958832004,40.02736092,-0.110956506,0.298969072,0.402061856,0.701030928,5.35,58.33333333,0.31,26.53835714,1,591.3948899,60,6.82,198428647.8,-0.7,-0.756675183,66.48845019,-0.757142857,1.00177305,-0.17699115,68.22979338,5.96E-09,0.907063197,604962408.6,14.08343869,39.84516712,-0.086287625,1.181784512,0.75862069,0.817988995,0.070469799,32.46206559,69.95874284,-60.99525189,151332453.8,41.51011775,-0.505119454,637551700,0.15,0.02,-0.353026634,0.284738041,0.110057166,-0.430976431,-0.024347826,-0.333333333,0.25,632570759,683599429.6,666.1740721,116266716.7,-1.75,-0.45,114101548,-1,46.09692379,5,0.012790756,0.597419726,1.25,-0.046716222,-0.938755709,1.030465527,245.9259259,-15279490.08,52.33160622,-0.064759855,-1.26950263,0.514984884,0.082488722,0.207641602,244.4444444,-0.762196021,4.833333333,-0.678300642,0.006998774,-1,0.272210063,6.954796748,5.616666667,4.890387858,74.46045655,0.46,0.604785992,0.476438163,718396377.3,70,33573090.64,1.118487577,-0.503674817,-0.449361702,,-0.6269811,,-0.537671233,-0.003644667,6.71135786,5.18E-11,63.55336742,0.030465163,0.08330711,-1,0.140735963,864429522.4,0.548565678,0.016276593,5.4078125,-1,2362269.545,-0.200668896,0.673333333,0.019503546,-1919.070091,0.128498684,0.31,0.098051688,0.768456376,6729.499364,,-0.005759351,1.47,-1.164209705,0.014847543,0.120762709,-4.342673003,80.68656951,7.650419963,0.14678878,0.31,0.30263663,75,-543831.682,0.569824585,-0.616666667,-0.003498281,3,,0.84098434,0.676666667,82.52164361,2.69,-58.60425566,0.141944444,-1.137014267,0.333943565
000333.XSHE,-0.560988313,-0.284177215,0.48,-1,-0.907037125,-0.643333333,0.712684564,0.140939597,9.24E-09,0.036666667,-64344466.69,0.174295302,0.076093304,1.64,0.009395425,-0.562711864,0.099571447,1.034628378,0.033469388,-0.345739272,0.341619048,0.000404845,63.06752641,1.348901336,-1.240344444,0.283140409,393.5008727,82.74076283,-106917.2941,,3.428259837,-2.134624647,-0.3584,0.966853741,0.116666667,0.488215488,0.925869875,-0.83,0.44,198.4350419,-0.849498328,-0.496627323,129171725,,0.046433333,0.970454932,33.21238854,-0.193960533,0.351963746,0.296072508,0.648036254,36.32666667,58.33333333,0.056666667,77.64669046,-1,271.4080809,65,52.09,57506035.43,,-0.279777936,70.86822647,-0.485714286,0.984047619,1.621098476,66.05629106,1.12E-06,0.729588015,563993182,7.053126024,34.00829902,-0.170568562,1.277643098,0.689655172,0.756700014,,85.95974386,68.86218768,-36.95585656,35999178.92,35.60810344,-0.546075085,241110820,0.025,1,,0.139534884,0.115854259,-0.407407407,-0.910535117,-0.841750842,3.61,357832642,685083969.2,251.6648192,19180241.36,-12.8,-0.466666667,14189734.82,1,46.02908912,5,9.68E-05,0.200193902,6,-0.210645556,-0.461882674,0.916622546,184.5070423,6129492.143,41.76931691,-0.030950976,0.051742553,0.72322659,0.257195489,0.034790039,106.6504461,0.001507851,1.025547445,-0.913071364,0.001668222,-1,-0.029801436,,49.07,0.345739272,61.72206257,2.6,0.730327869,0.62520028,1647676192,90,2547989.201,1.110899904,-0.088782999,-2.94912,,-0.337150629,0.662116041,-0.520547945,-0.026808889,20.08801949,1.04E-11,23.85250072,0.033959442,0.2477331,-1,0.477469588,1517453193,4.466036344,0.016028794,47.55229167,-1,79167.03849,-0.879194631,0.311666667,0.016122449,-3710.133851,0.700609831,1.4125,0.526526578,0.406040268,673.5700956,,0.00106159,6.33,-0.874152049,0.048800278,-0.763395291,-0.605286933,48.13237659,54.32796306,1.278320211,1.153333333,0.520455003,95,25264.91422,0.352308147,-30924255,-0.003498282,6,,1.651185682,0.63,47.56386478,13.35,-33.59493228,0.712222222,-0.792386795,1.080652991
000338.XSHE,-0.511234657,0.045307443,1.19,-1,-0.983135384,-0.643333333,1.238506711,0.154362416,1.50E-09,0.406666667,135959880.2,0.095369128,-0.10183102,1.3,-0.014084507,-0.929292929,0.808305501,1.135416667,0.119266055,9.879032258,0.085047619,0.012841321,58.47382163,0.526056992,-1.341666667,-0.035115176,143.4550521,90.94845255,11839474.05,,10.78173965,-2.533842489,-0.075733333,0.902675841,0.19,0.936026936,-2.37201823,-1.09,0.323333333,169.82081,-0.64548495,-0.40754488,274259197,2,0.727794444,0.912366208,29.10565249,-0.253972916,0.240534521,0.518930958,0.759465479,9.566666667,50,0.753333333,41.42559258,1,363.0602922,60,2.24,369079885.6,-0.722033898,-0.8211433,83.46541943,-0.93877551,0.920795107,8.601793424,74.63397201,9.01E-08,0.713024283,467702601.3,16.24600071,29.50897975,-0.090301003,1.475690236,0.724137931,0.669551416,0.077966102,151.0164569,78.16314652,32.79180733,84746056.88,30.71562428,-0.979522184,428836019,0.09375,-0.25,-1.215496368,0.238636364,0.176015137,-0.882154882,-0.397157191,-0.838383838,1.3,557928874,395774856.5,282.0467858,38451218.85,-3.49,-0.98,36848274.55,-1,55.23861795,5,0.015632427,0.39105561,2.1,-0.066034722,-0.849782445,1.328957885,181.5217391,-16825418.14,59.63302752,-0.204710334,-0.231404421,0.483212618,0.077932331,0.012390137,187.1698113,0.213581996,1.927419355,-0.607933842,0.003393203,1,0.058662022,1.554986667,10.82,0,61.22420744,0.66,0.217137546,0.943006758,762036081.8,95,26111365.41,1.127432076,-0.293837987,5.956648045,,-0.557920228,,-0.616438356,-0.106458333,17.83177755,2.12E-11,27.80113638,0.060449523,0.064583333,1,0.598736615,1296717187,1.079857199,0.017293551,9.944791667,-1,4920479.674,-0.953177258,0.433333333,0.066055046,-2020.623636,0.151660407,0.481666667,1,0.16442953,2527.576902,,-0.002692259,2.61,-1.522708684,0.012064889,-0.08289909,-1.65899089,33.79735449,13.08929512,0.221037953,0.53,0.966692927,100,2813250.516,0.465201465,-1,-0.003498282,4,,0.481677852,0.13,39.48426133,4.53,37.72073917,0.361666667,-0.840221438,0.865748786
000402.XSHE,-0.40838288,-1.018181818,0.62,-1,-0.97147263,-0.643333333,0.506627517,0.473154362,9.97E-10,0.33,-9413254.983,0.171666667,-0.038891442,0.41,0.002453988,-0.65993266,0.935084257,1.051898734,0.049338147,6.94980695,0.114380952,0.001185904,68.98490504,0.432248751,-0.684288889,0.668489902,-295.8408955,96.47864697,1123289.792,,7.306574841,-1.682356821,-0.0945,0.931909346,0.386666667,0.094276094,-1.585776024,-0.24,0.256666667,323.7078394,-0.434782609,-0.230947203,94900015,1.733333333,0.138666667,0.944131067,26.4237315,-0.259720893,0.226519337,0.546961326,0.773480663,5.233333333,66.66666667,0.53,25.98746348,1,584.0945906,65,8.46,28841250.95,-0.846666667,-0.163408291,91.30467235,-0.864285714,0.970517449,3.037817731,74.70705032,1.00E-07,0.94921875,63343125.35,12.03864951,30.36626078,-0.518394649,0.697777778,0.724137931,0.660546015,0.349152542,96.3419431,84.78982566,-49.17493383,14204778.14,33.14657649,-0.303754266,134831480,0.05625,-0.16,-1.515254237,0.172073343,0.148838406,-0.494949495,-0.196454849,-1,0.13,178370419,60721708.4,488.7448466,8542671.98,-2.52,-0.173333333,7293502.67,1,49.44014333,5,0.107874381,-0.340032447,1.22,-0.306618356,-0.436650513,1.10159809,260.6837607,-3506345.073,75,-0.2456524,-0.162337196,0.963315876,0.063834586,0,221.09375,0.498361771,2.08988764,-0.359060403,0.003170387,1,0.181204429,2.472470588,8.25,0,82.70949054,0.17,4.348928571,0.741610738,99787957.38,95,2261474.601,1.078109054,-0.211069443,2.721259843,,-0.331522686,0.38225256,-0.119863014,-0.30703125,8.065218559,1.12E-10,42.10792856,0.049972013,0.054498834,1,0.429704579,133343859,0.556811827,0.012667598,7.845729167,-1,523223.0481,-0.580536913,0.616666667,0.026474128,-3071.791499,0.074299685,0.244166667,1,0.489932886,8038.28875,,-0.002624658,1.19,-1.24174732,0.010992817,-0.398931533,-9.185549962,81.43908592,10.49648296,0.17265402,0.295,-0.599026241,100,317308.3092,0.189816395,-1,-0.003498282,4,,1.169876957,0.376666667,83.82418772,2.56,-10.30940665,0.277222222,-0.672877449,0.759653609
